cv_edu,edu,cv_mun,mun,pob,pobreza_pct,pobreza_pob,extrema_pct,extrema_pob,moderada_pct,moderada_pob,vulnerables_c_pct,vulnerables_c_pob,vulnerables_i_pct,vulnerables_i_pob,rez_edu_pct,rez_edu_pob,rez_serv_salud_pct,rez_serv_salud_pob,rez_seg_social_pct,rez_seg_social_pob,rez_esp_viv_pct,rez_esp_viv_pob,rez_serv_viv_pct,rez_serv_viv_pob,rez_alim_pct,rez_alim_pob,ing_inf_bie_pct,ing_inf_bie_pob,ing_inf_min_pct,ing_inf_min_pob,gini,razon_ingreso
01,Aguascalientes,01001,Aguascalientes,"794,304",30.5,"242,510",2.3,"17,987",28.3,"224,523",28.0,"222,273",8.4,"66,873",15.0,"118,912",24.0,"190,907",41.8,"332,018",4.7,"37,501",3.2,"25,530",17.7,"140,318",39.0,"309,383",10.3,"81,924",0.437,0.13
01,Aguascalientes,01002,Asientos,"48,592",67.1,"32,611",8.0,"3,907",59.1,"28,704",22.4,"10,904",5.6,"2,701",21.2,"10,313",15.5,"7,539",78.0,"37,903",11.1,"5,375",11.6,"5,626",31.7,"15,380",72.7,"35,311",32.2,"15,648",0.371,0.16
01,Aguascalientes,01003,Calvillo,"53,104",61.4,"32,585",7.2,"3,845",54.1,"28,740",29.4,"15,628",2.9,"1,551",27.4,"14,530",20.8,"11,052",80.1,"42,511",9.9,"5,247",9.5,"5,068",20.4,"10,831",64.3,"34,136",26.5,"14,074",0.384,0.13
01,Aguascalientes,01004,Cosío,"14,101",52.8,"7,445",4.8,672,48.0,"6,773",27.1,"3,825",7.7,"1,087",20.9,"2,946",14.1,"1,984",65.8,"9,283",11.4,"1,614",5.7,803,19.0,"2,681",60.5,"8,532",20.9,"2,941",0.381,0.16
01,Aguascalientes,01005,Jesús María,"101,379",45.3,"45,964",6.1,"6,168",39.3,"39,796",26.3,"26,625",8.3,"8,394",20.6,"20,862",16.6,"16,796",52.6,"53,343",12.9,"13,115",4.6,"4,619",25.4,"25,744",53.6,"54,358",19.5,"19,738",0.421,0.14
01,Aguascalientes,01006,Pabellón de Arteaga,"43,783",47.0,"20,560",4.1,"1,813",42.8,"18,746",23.6,"10,341",9.2,"4,021",18.8,"8,242",18.5,"8,101",54.1,"23,703",7.8,"3,426",5.2,"2,289",21.2,"9,301",56.1,"24,581",19.8,"8,666",0.431,0.13
01,Aguascalientes,01007,Rincón de Romos,"51,284",56.1,"28,789",9.2,"4,699",47.0,"24,090",19.9,"10,221",7.5,"3,847",20.2,"10,346",20.3,"10,394",63.5,"32,549",14.1,"7,226",6.8,"3,479",27.5,"14,099",63.6,"32,636",26.1,"13,388",0.432,0.12
01,Aguascalientes,01008,San José de Gracia,"7,826",66.6,"5,214",7.3,574,59.3,"4,639",20.9,"1,633",3.8,294,16.7,"1,309",12.3,962,79.6,"6,226",8.2,642,12.2,959,23.7,"1,858",70.4,"5,508",34.6,"2,711",0.452,0.10
01,Aguascalientes,01009,Tepezalá,"22,027",58.7,"12,921",6.0,"1,329",52.6,"11,592",26.4,"5,823",7.5,"1,660",22.6,"4,982",11.9,"2,617",70.7,"15,567",14.3,"3,148",9.2,"2,019",19.5,"4,299",66.2,"14,581",25.7,"5,669",0.349,0.19
01,Aguascalientes,01010,El Llano,"17,634",60.6,"10,693",9.5,"1,683",51.1,"9,010",28.6,"5,044",4.0,703,27.1,"4,774",19.1,"3,366",75.8,"13,365",11.3,"1,989",13.9,"2,459",39.2,"6,908",64.6,"11,396",25.4,"4,480",0.357,0.18
01,Aguascalientes,01011,San Francisco de los Romo,"37,057",43.3,"16,038",4.3,"1,581",39.0,"14,458",23.6,"8,753",11.3,"4,200",20.2,"7,494",20.9,"7,730",48.9,"18,106",7.9,"2,917",2.7,998,23.7,"8,780",54.6,"20,239",18.2,"6,732",0.393,0.17
02,Baja California,02001,Ensenada,"435,574",36.1,"157,285",5.7,"24,809",30.4,"132,476",37.7,"164,200",5.5,"24,061",20.3,"88,614",27.2,"118,551",57.3,"249,581",13.1,"57,153",22.6,"98,350",20.1,"87,383",41.6,"181,346",12.0,"52,240",0.452,0.11
02,Baja California,02002,Mexicali,"936,985",30.2,"282,538",2.6,"24,767",27.5,"257,770",36.3,"339,869",7.0,"65,259",15.7,"146,704",29.4,"275,203",51.3,"480,330",8.1,"75,470",6.6,"61,939",16.4,"153,866",37.1,"347,796",9.0,"84,330",0.440,0.12
02,Baja California,02003,Tecate,"104,060",20.3,"21,157",1.6,"1,709",18.7,"19,448",49.0,"50,955",4.0,"4,185",16.4,"17,026",27.9,"29,034",48.8,"50,770",10.2,"10,623",13.1,"13,640",13.9,"14,495",24.4,"25,342",4.8,"4,992",0.445,0.11
02,Baja California,02004,Tijuana,"1,603,955",32.8,"525,769",3.5,"56,736",29.2,"469,033",40.1,"643,641",6.0,"96,727",17.2,"275,362",41.0,"657,444",55.9,"895,956",10.4,"166,737",2.4,"38,435",15.9,"255,725",38.8,"622,495",10.2,"162,835",0.438,0.13
02,Baja California,02005,Playas de Rosarito,"92,624",33.2,"30,713",3.3,"3,048",29.9,"27,665",51.6,"47,814",2.9,"2,683",17.3,"16,042",37.9,"35,127",69.2,"64,138",14.1,"13,078",13.5,"12,538",16.7,"15,500",36.1,"33,396",8.5,"7,867",0.456,0.11
03,Baja California Sur,03001,Comondú,"76,218",48.1,"36,633",6.5,"4,984",41.5,"31,648",29.8,"22,725",5.9,"4,461",22.2,"16,931",17.1,"13,054",55.9,"42,616",12.7,"9,674",17.4,"13,279",28.1,"21,419",53.9,"41,094",18.8,"14,339",0.417,0.13
03,Baja California Sur,03002,Mulegé,"51,669",41.9,"21,659",5.6,"2,877",36.4,"18,782",29.6,"15,313",8.4,"4,317",23.0,"11,861",14.5,"7,499",51.0,"26,354",13.9,"7,187",16.9,"8,728",28.7,"14,844",50.3,"25,975",16.6,"8,579",0.410,0.14
03,Baja California Sur,03003,La Paz,"283,378",24.7,"69,922",2.8,"7,900",21.9,"62,022",30.8,"87,199",4.6,"13,170",13.1,"37,165",21.5,"60,790",40.4,"114,605",6.9,"19,458",5.3,"14,956",23.7,"67,209",29.3,"83,092",8.3,"23,517",0.440,0.10
03,Baja California Sur,03008,Los Cabos,"215,657",28.5,"61,535",5.6,"12,152",22.9,"49,383",40.3,"86,882",2.6,"5,604",18.3,"39,488",28.4,"61,187",47.2,"101,850",18.1,"39,136",9.0,"19,385",27.1,"58,529",31.1,"67,138",9.8,"21,215",0.461,0.11
03,Baja California Sur,03009,Loreto,"17,938",53.8,"9,653",10.2,"1,828",43.6,"7,826",23.9,"4,287",7.2,"1,296",21.3,"3,822",18.8,"3,372",59.7,"10,711",20.8,"3,734",19.3,"3,470",28.0,"5,024",61.0,"10,949",24.4,"4,378",0.424,0.13
04,Campeche,04001,Calkiní,"53,889",60.5,"32,628",19.3,"10,378",41.3,"22,249",19.4,"10,478",3.0,"1,623",25.2,"13,581",24.1,"12,989",69.5,"37,435",28.8,"15,516",47.2,"25,418",32.2,"17,333",63.6,"34,251",29.5,"15,913",0.479,0.11
04,Campeche,04002,Campeche,"263,932",35.2,"93,032",5.6,"14,903",29.6,"78,129",26.1,"68,769",7.2,"18,874",18.8,"49,656",19.6,"51,729",43.1,"113,860",12.8,"33,915",12.6,"33,177",27.0,"71,243",42.4,"111,906",11.1,"29,368",0.448,0.11
04,Campeche,04003,Carmen,"228,449",41.1,"93,849",8.4,"19,134",32.7,"74,715",31.4,"71,731",3.9,"8,910",22.2,"50,730",16.8,"38,358",53.7,"122,754",21.9,"49,923",35.5,"81,166",31.0,"70,847",45.0,"102,759",12.6,"28,711",0.485,0.09
04,Campeche,04004,Champotón,"76,983",63.2,"48,654",13.4,"10,322",49.8,"38,332",24.9,"19,135",3.8,"2,906",27.2,"20,937",23.6,"18,136",70.3,"54,140",22.3,"17,188",38.3,"29,479",30.6,"23,520",67.0,"51,560",25.6,"19,683",0.395,0.15
04,Campeche,04005,Hecelchakán,"30,920",56.6,"17,488",14.8,"4,583",41.7,"12,905",29.7,"9,195",3.0,938,24.2,"7,467",31.1,"9,613",62.5,"19,316",28.3,"8,766",58.4,"18,066",33.5,"10,343",59.6,"18,426",23.6,"7,285",0.437,0.12
04,Campeche,04006,Hopelchén,"47,030",75.6,"35,570",31.2,"14,690",44.4,"20,880",19.4,"9,123",1.1,527,31.9,"15,013",26.6,"12,510",84.6,"39,767",24.0,"11,266",78.1,"36,752",36.5,"17,177",76.8,"36,097",44.0,"20,684",0.448,0.11
04,Campeche,04007,Palizada,"9,470",62.7,"5,938",17.8,"1,683",44.9,"4,255",29.1,"2,755",2.0,188,32.3,"3,056",15.6,"1,473",83.4,"7,900",27.5,"2,609",50.9,"4,823",37.6,"3,565",64.7,"6,126",26.4,"2,496",0.441,0.09
04,Campeche,04008,Tenabo,"10,704",64.1,"6,865",19.4,"2,073",44.8,"4,792",28.0,"3,000",1.8,194,27.7,"2,964",15.3,"1,635",68.3,"7,307",31.3,"3,347",75.7,"8,108",30.9,"3,303",65.9,"7,059",27.9,"2,986",0.432,0.13
04,Campeche,04009,Escárcega,"46,710",73.0,"34,104",28.4,"13,243",44.7,"20,861",17.5,"8,177",2.4,"1,138",32.3,"15,091",20.8,"9,706",81.0,"37,852",37.4,"17,470",51.6,"24,101",37.2,"17,384",75.4,"35,242",40.6,"18,975",0.461,0.11
04,Campeche,04010,Calakmul,"23,814",85.8,"20,440",46.1,"10,980",39.7,"9,460",13.2,"3,141",0.2,54,33.5,"7,978",37.1,"8,824",91.5,"21,783",39.8,"9,486",81.3,"19,366",32.7,"7,776",86.1,"20,494",61.1,"14,540",0.462,0.08
04,Campeche,04011,Candelaria,"33,815",79.1,"26,746",31.2,"10,544",47.9,"16,202",16.1,"5,443",1.0,354,33.0,"11,154",19.6,"6,628",89.6,"30,289",36.0,"12,163",54.1,"18,308",41.5,"14,040",80.1,"27,100",48.1,"16,274",0.450,0.09
05,Coahuila,05001,Abasolo,"1,382",28.8,398,4.0,55,24.8,343,51.0,705,3.4,48,15.7,217,36.6,506,67.7,935,1.8,25,5.5,75,13.1,180,32.3,446,9.7,135,0.369,0.14
05,Coahuila,05002,Acuña,"140,380",29.8,"41,811",3.4,"4,829",26.3,"36,982",25.0,"35,060",14.8,"20,730",14.1,"19,789",22.3,"31,267",28.0,"39,367",6.9,"9,742",4.0,"5,569",25.3,"35,518",44.6,"62,542",12.3,"17,334",0.400,0.14
05,Coahuila,05003,Allende,"25,124",20.2,"5,075",0.9,216,19.3,"4,859",40.1,"10,075",7.3,"1,835",14.3,"3,592",12.6,"3,167",39.0,"9,804",3.1,773,7.8,"1,950",18.5,"4,650",27.5,"6,910",4.7,"1,186",0.413,0.12
05,Coahuila,05004,Arteaga,"21,963",50.3,"11,051",5.3,"1,163",45.0,"9,888",27.4,"6,024",13.4,"2,940",21.2,"4,647",27.3,"6,004",60.6,"13,305",5.7,"1,251",8.2,"1,806",29.3,"6,434",63.7,"13,991",24.7,"5,431",0.379,0.14
05,Coahuila,05005,Candela,"1,769",38.2,675,4.5,80,33.6,595,43.5,770,5.7,101,25.8,456,19.2,340,61.1,"1,081",4.7,84,19.4,343,22.6,400,43.9,776,13.6,240,0.370,0.16
05,Coahuila,05006,Castaños,"25,359",31.7,"8,034",3.7,939,28.0,"7,095",22.3,"5,648",17.8,"4,508",9.8,"2,485",16.8,"4,258",29.7,"7,540",3.8,964,16.6,"4,204",26.1,"6,607",49.5,"12,541",13.7,"3,462",0.378,0.15
05,Coahuila,05007,Cuatro Ciénegas,"11,642",43.7,"5,090",6.5,761,37.2,"4,329",20.2,"2,347",16.3,"1,902",15.5,"1,803",14.3,"1,669",50.3,"5,856",8.5,995,19.7,"2,292",25.5,"2,964",60.1,"6,993",23.7,"2,761",0.434,0.11
05,Coahuila,05008,Escobedo,"3,356",44.0,"1,475",5.8,193,38.2,"1,282",43.8,"1,471",3.3,112,18.9,633,28.6,958,64.8,"2,175",3.7,125,34.4,"1,155",35.2,"1,182",47.3,"1,587",16.2,542,0.365,0.17
05,Coahuila,05009,Francisco I. Madero,"59,413",38.4,"22,817",5.1,"3,020",33.3,"19,797",28.7,"17,034",11.7,"6,963",17.1,"10,167",17.9,"10,625",45.8,"27,217",5.9,"3,506",13.0,"7,698",22.9,"13,597",50.1,"29,781",17.0,"10,108",0.398,0.15
05,Coahuila,05010,Frontera,"67,332",24.9,"16,744",2.5,"1,687",22.4,"15,057",24.9,"16,775",14.6,"9,816",10.5,"7,065",10.4,"6,986",28.0,"18,828",4.5,"3,062",8.2,"5,510",19.8,"13,353",39.4,"26,559",9.4,"6,345",0.370,0.15
05,Coahuila,05011,General Cepeda,"13,890",58.7,"8,154",11.7,"1,620",47.0,"6,535",25.5,"3,538",8.1,"1,124",23.1,"3,202",31.9,"4,427",66.0,"9,172",4.8,671,21.6,"3,007",27.6,"3,840",66.8,"9,278",33.7,"4,677",0.523,0.09
05,Coahuila,05012,Guerrero,"2,156",29.8,642,4.4,94,25.4,548,50.6,"1,091",4.8,104,24.9,538,27.5,593,57.4,"1,238",7.3,157,21.4,460,19.4,419,34.6,747,9.6,207,0.393,0.15
05,Coahuila,05013,Hidalgo,"1,905",40.1,764,6.7,127,33.4,637,46.1,879,3.1,58,17.9,341,48.3,919,67.5,"1,285",5.1,97,21.5,409,40.7,776,43.1,822,13.9,264,0.358,0.17
05,Coahuila,05014,Jiménez,"8,496",48.3,"4,099",5.6,475,42.7,"3,624",36.1,"3,064",6.4,546,24.2,"2,054",17.5,"1,483",51.2,"4,354",9.1,771,41.5,"3,522",17.5,"1,483",54.7,"4,645",19.5,"1,656",0.347,0.20
05,Coahuila,05015,Juárez,"1,647",47.1,776,5.2,86,41.9,690,42.2,695,3.5,58,19.1,314,28.4,468,74.4,"1,225",4.0,65,19.5,321,25.3,417,50.6,833,17.0,280,0.366,0.16
05,Coahuila,05016,Lamadrid,"1,698",29.2,497,1.6,28,27.6,469,43.0,731,6.6,111,16.4,278,19.0,322,53.7,912,2.8,47,10.5,178,13.0,220,35.8,608,8.2,139,0.396,0.16
05,Coahuila,05017,Matamoros,"97,369",37.2,"36,265",4.4,"4,239",32.9,"32,025",31.0,"30,156",9.5,"9,270",19.2,"18,694",24.9,"24,279",42.4,"41,239",6.4,"6,212",12.2,"11,881",25.1,"24,443",46.8,"45,535",13.3,"12,968",0.383,0.17
05,Coahuila,05018,Monclova,"230,887",19.1,"44,125",1.2,"2,837",17.9,"41,288",26.7,"61,726",10.8,"24,855",8.2,"18,964",12.6,"29,175",26.8,"61,876",5.5,"12,690",3.3,"7,627",16.8,"38,774",29.9,"68,980",5.9,"13,589",0.409,0.14
05,Coahuila,05019,Morelos,"9,515",31.2,"2,967",2.0,188,29.2,"2,779",29.9,"2,845",11.8,"1,126",11.5,"1,096",14.4,"1,368",37.5,"3,572",8.3,785,16.6,"1,583",16.2,"1,541",43.0,"4,093",11.5,"1,097",0.400,0.14
05,Coahuila,05020,Múzquiz,"63,144",35.3,"22,310",3.2,"1,994",32.2,"20,316",23.2,"14,642",15.8,"9,958",14.3,"9,021",10.2,"6,465",29.6,"18,667",8.8,"5,531",12.0,"7,567",23.8,"15,007",51.1,"32,269",15.4,"9,699",0.377,0.16
05,Coahuila,05021,Nadadores,"6,538",30.2,"1,973",3.7,243,26.4,"1,729",30.8,"2,017",14.5,947,14.1,920,29.4,"1,925",34.8,"2,277",6.4,420,23.6,"1,542",15.8,"1,034",44.7,"2,919",11.7,762,0.383,0.15
05,Coahuila,05022,Nava,"25,777",30.6,"7,877",3.9,"1,014",26.6,"6,863",20.8,"5,351",19.1,"4,929",15.6,"4,022",14.0,"3,614",25.2,"6,490",6.8,"1,752",7.9,"2,044",23.0,"5,922",49.7,"12,806",14.4,"3,701",0.364,0.16
05,Coahuila,05023,Ocampo,"11,403",46.2,"5,263",7.3,828,38.9,"4,436",20.5,"2,341",18.1,"2,063",20.1,"2,294",18.7,"2,136",46.3,"5,276",7.8,887,19.2,"2,184",25.5,"2,908",64.3,"7,327",26.2,"2,984",0.378,0.17
05,Coahuila,05024,Parras,"44,079",34.6,"15,259",5.9,"2,584",28.8,"12,675",22.4,"9,893",17.0,"7,494",13.3,"5,846",17.6,"7,773",42.4,"18,699",7.4,"3,249",19.0,"8,363",25.9,"11,424",51.6,"22,753",16.5,"7,258",0.428,0.12
05,Coahuila,05025,Piedras Negras,"135,285",24.0,"32,487",2.1,"2,857",21.9,"29,630",25.6,"34,677",12.8,"17,373",12.2,"16,478",17.6,"23,813",29.0,"39,197",5.2,"7,018",3.4,"4,665",18.5,"24,961",36.9,"49,860",8.7,"11,774",0.403,0.14
05,Coahuila,05026,Progreso,"3,744",27.6,"1,033",1.7,63,25.9,971,43.8,"1,639",8.2,305,23.6,885,19.8,741,38.2,"1,429",3.1,116,21.3,796,20.1,752,35.8,"1,339",7.7,290,0.346,0.19
05,Coahuila,05027,Ramos Arizpe,"77,712",27.1,"21,029",3.3,"2,568",23.8,"18,460",21.3,"16,515",15.7,"12,222",12.3,"9,529",20.7,"16,059",30.2,"23,441",2.2,"1,728",5.3,"4,097",24.1,"18,692",42.8,"33,250",11.3,"8,789",0.446,0.13
05,Coahuila,05028,Sabinas,"59,162",23.7,"14,018",2.0,"1,195",21.7,"12,823",27.6,"16,350",13.0,"7,668",10.6,"6,242",18.9,"11,161",33.2,"19,657",5.2,"3,060",2.8,"1,670",17.9,"10,600",36.7,"21,686",8.2,"4,840",0.411,0.14
05,Coahuila,05029,Sacramento,"2,070",24.0,496,1.7,34,22.3,462,39.0,808,7.3,151,15.6,323,23.0,477,43.2,894,2.5,51,19.7,407,12.5,260,31.2,646,6.3,130,0.411,0.14
05,Coahuila,05030,Saltillo,"758,175",23.5,"177,905",2.2,"16,678",21.3,"161,228",26.4,"200,510",12.5,"94,485",10.6,"80,174",18.2,"137,979",29.5,"223,353",2.6,"19,770",3.4,"25,752",21.3,"161,219",35.9,"272,390",9.0,"68,456",0.442,0.12
05,Coahuila,05031,San Buenaventura,"22,620",25.1,"5,684",2.6,589,22.5,"5,095",27.2,"6,163",12.6,"2,848",11.1,"2,505",22.9,"5,186",33.4,"7,551",3.3,750,10.2,"2,300",18.0,"4,079",37.7,"8,532",8.9,"2,012",0.406,0.13
05,Coahuila,05032,San Juan de Sabinas,"41,384",19.0,"7,862",1.1,443,17.9,"7,418",27.8,"11,496",12.4,"5,148",10.9,"4,527",13.7,"5,670",26.9,"11,134",4.6,"1,923",7.5,"3,118",15.0,"6,221",31.4,"13,009",5.7,"2,371",0.405,0.14
05,Coahuila,05033,San Pedro,"104,176",49.1,"51,146",5.7,"5,977",43.4,"45,168",23.7,"24,648",12.9,"13,406",16.5,"17,189",25.4,"26,477",53.7,"55,928",5.0,"5,244",13.0,"13,494",25.3,"26,311",62.0,"64,552",24.7,"25,761",0.403,0.15
05,Coahuila,05034,Sierra Mojada,"5,457",30.5,"1,667",3.4,187,27.1,"1,480",24.0,"1,311",20.4,"1,113",13.8,754,12.7,692,27.1,"1,479",10.1,550,17.0,930,27.4,"1,497",50.9,"2,780",13.9,759,0.379,0.15
05,Coahuila,05035,Torreón,"629,877",27.3,"171,873",2.9,"18,158",24.4,"153,715",27.1,"170,939",12.4,"78,018",10.8,"68,250",25.9,"163,056",37.9,"238,759",3.9,"24,721",2.6,"16,145",17.8,"111,961",39.7,"249,891",11.5,"72,412",0.452,0.12
05,Coahuila,05036,Viesca,"26,031",58.5,"15,216",12.6,"3,273",45.9,"11,943",25.6,"6,663",9.0,"2,334",22.7,"5,915",32.6,"8,484",56.3,"14,653",4.1,"1,071",27.8,"7,235",39.5,"10,291",67.4,"17,550",33.4,"8,688",0.482,0.10
05,Coahuila,05037,Villa Unión,"4,810",36.8,"1,768",2.7,128,34.1,"1,641",29.8,"1,435",14.6,704,18.2,874,12.1,582,40.3,"1,941",6.3,305,16.7,805,18.4,883,51.4,"2,472",14.4,694,0.346,0.18
05,Coahuila,05038,Zaragoza,"11,691",37.1,"4,340",3.1,364,34.0,"3,975",30.7,"3,594",11.7,"1,370",21.0,"2,454",18.5,"2,167",44.2,"5,168",7.2,842,13.0,"1,519",21.3,"2,490",48.8,"5,710",12.9,"1,509",0.378,0.15
06,Colima,06001,Armería,"24,404",55.4,"13,510",4.8,"1,181",50.5,"12,329",32.3,"7,879",3.0,725,27.9,"6,817",13.1,"3,194",72.9,"17,796",20.9,"5,107",24.2,"5,901",17.1,"4,178",58.3,"14,235",17.5,"4,265",0.591,0.10
06,Colima,06002,Colima,"154,625",27.9,"43,104",1.4,"2,172",26.5,"40,933",36.1,"55,761",4.8,"7,499",15.4,"23,841",16.1,"24,864",52.8,"81,703",6.6,"10,135",2.7,"4,251",17.5,"27,113",32.7,"50,603",6.3,"9,723",0.450,0.11
06,Colima,06003,Comala,"19,208",53.7,"10,306",4.7,904,48.9,"9,402",33.3,"6,406",3.2,618,22.3,"4,278",22.2,"4,269",76.2,"14,638",15.5,"2,969",23.0,"4,420",15.4,"2,963",56.9,"10,924",15.8,"3,029",0.397,0.14
06,Colima,06004,Coquimatlán,"16,756",45.7,"7,650",3.3,559,42.3,"7,091",40.4,"6,772",3.6,604,27.3,"4,572",18.5,"3,099",71.3,"11,948",12.2,"2,040",15.4,"2,575",18.2,"3,054",49.3,"8,254",12.3,"2,062",0.383,0.14
06,Colima,06005,Cuauhtémoc,"31,377",34.8,"10,928",1.3,423,33.5,"10,505",40.2,"12,606",4.4,"1,392",21.2,"6,643",11.6,"3,638",58.8,"18,465",5.7,"1,802",9.7,"3,035",20.0,"6,288",39.3,"12,320",6.9,"2,175",0.402,0.14
06,Colima,06006,Ixtlahuacán,"7,234",48.8,"3,533",4.8,346,44.1,"3,188",44.1,"3,191",1.2,86,34.1,"2,464",13.0,942,82.4,"5,963",14.7,"1,065",55.6,"4,024",22.7,"1,643",50.0,"3,619",12.5,903,0.393,0.11
06,Colima,06007,Manzanillo,"169,058",31.7,"53,634",2.7,"4,586",29.0,"49,049",34.1,"57,709",5.5,"9,273",18.6,"31,443",20.6,"34,748",49.6,"83,818",17.7,"29,874",9.2,"15,633",23.8,"40,190",37.2,"62,907",7.1,"12,031",0.458,0.11
06,Colima,06008,Minatitlán,"8,515",50.1,"4,266",3.3,284,46.8,"3,982",33.3,"2,838",5.8,492,24.6,"2,094",7.6,644,65.2,"5,549",6.8,580,19.4,"1,649",26.0,"2,211",55.9,"4,758",14.8,"1,257",0.402,0.14
06,Colima,06009,Tecomán,"95,285",51.3,"48,864",4.9,"4,625",46.4,"44,239",32.2,"30,673",3.7,"3,484",27.1,"25,795",21.0,"19,981",70.1,"66,801",19.9,"18,927",19.7,"18,744",23.6,"22,457",54.9,"52,348",13.8,"13,131",0.403,0.14
06,Colima,06010,Villa de Álvarez,"126,969",24.3,"30,905",0.8,"1,076",23.5,"29,829",30.6,"38,907",6.1,"7,684",11.1,"14,115",16.7,"21,155",44.8,"56,887",5.1,"6,465",1.6,"1,981",15.3,"19,453",30.4,"38,589",5.3,"6,689",0.439,0.11
07,Chiapas,07001,Acacoyagua,"16,313",85.7,"13,983",37.9,"6,177",47.9,"7,806",12.2,"1,998",0.7,107,36.7,"5,983",50.1,"8,174",90.3,"14,724",35.9,"5,864",56.6,"9,230",27.0,"4,409",86.4,"14,090",54.5,"8,883",0.425,0.09
07,Chiapas,07002,Acala,"29,423",81.5,"23,980",34.1,"10,046",47.4,"13,934",11.6,"3,400",2.9,863,37.5,"11,024",27.2,"7,993",83.8,"24,662",46.8,"13,769",36.5,"10,746",37.1,"10,907",84.4,"24,843",49.8,"14,643",0.439,0.11
07,Chiapas,07003,Acapetahua,"26,161",80.9,"21,157",34.2,"8,954",46.6,"12,203",17.1,"4,463",1.1,285,32.7,"8,548",34.3,"8,978",83.1,"21,727",35.0,"9,146",79.9,"20,897",27.0,"7,052",82.0,"21,442",48.3,"12,623",0.432,0.13
07,Chiapas,07004,Altamirano,"36,801",92.3,"33,978",66.9,"24,610",25.5,"9,369",5.6,"2,056",0.5,183,48.4,"17,797",73.5,"27,031",94.8,"34,893",31.5,"11,582",77.2,"28,411",18.9,"6,966",92.8,"34,161",74.3,"27,330",0.548,0.06
07,Chiapas,07005,Amatán,"24,623",94.2,"23,198",54.2,"13,338",40.0,"9,860",5.6,"1,368",0.1,25,44.7,"11,009",19.2,"4,726",96.0,"23,644",32.5,"7,991",87.8,"21,619",30.3,"7,466",94.3,"23,223",74.0,"18,228",0.421,0.14
07,Chiapas,07006,Amatenango de la Frontera,"30,079",88.9,"26,755",39.1,"11,757",49.9,"14,997",8.8,"2,645",1.0,289,39.2,"11,793",30.2,"9,085",91.5,"27,511",32.1,"9,658",59.2,"17,794",25.4,"7,635",89.9,"27,044",63.3,"19,025",0.410,0.11
07,Chiapas,07007,Amatenango del Valle,"8,038",94.9,"7,631",67.6,"5,431",27.4,"2,200",5.0,399,0.0,2,50.7,"4,077",82.4,"6,625",98.0,"7,881",48.0,"3,860",79.3,"6,378",53.4,"4,289",95.0,"7,633",73.1,"5,876",0.399,0.13
07,Chiapas,07008,Angel Albino Corzo,"27,275",89.7,"24,474",45.4,"12,383",44.3,"12,091",9.2,"2,513",0.3,69,40.4,"11,019",45.3,"12,343",95.8,"26,137",32.4,"8,835",64.5,"17,586",33.9,"9,239",90.0,"24,544",60.2,"16,421",0.424,0.08
07,Chiapas,07009,Arriaga,"38,031",67.2,"25,556",17.9,"6,794",49.3,"18,763",22.3,"8,478",4.3,"1,638",27.5,"10,440",31.7,"12,066",77.7,"29,551",19.7,"7,507",53.1,"20,198",20.0,"7,608",71.5,"27,194",30.5,"11,584",0.432,0.11
07,Chiapas,07010,Bejucal de Ocampo,"9,841",92.2,"9,078",51.6,"5,081",40.6,"3,997",5.8,567,1.0,98,43.5,"4,276",17.1,"1,687",92.6,"9,115",43.4,"4,271",72.6,"7,147",28.6,"2,813",93.2,"9,176",70.8,"6,963",0.375,0.12
07,Chiapas,07011,Bella Vista,"22,716",88.9,"20,204",44.3,"10,065",44.6,"10,140",10.7,"2,421",0.3,70,36.8,"8,367",31.6,"7,173",94.6,"21,491",28.9,"6,573",85.6,"19,434",30.4,"6,898",89.2,"20,274",61.0,"13,863",0.363,0.19
07,Chiapas,07012,Berriozábal,"40,535",76.6,"31,035",29.4,"11,922",47.2,"19,114",14.3,"5,795",3.0,"1,217",37.8,"15,312",47.1,"19,090",79.5,"32,216",30.2,"12,242",47.9,"19,429",23.1,"9,382",79.6,"32,253",41.7,"16,904",0.448,0.12
